"index","mc","mismc"
"355","0.000040","0.057999",
"356","0.000013","0.057999",
"357","0.000010","0.058003",
"358","0.000010","0.057996",
"359","0.000032","0.057998",
"360","0.000023","0.057996",
"361","0.000017","0.057997",
"362","0.000059","0.057997",
"363","0.000061","0.058000",
"364","0.000068","0.058001",
"365","0.000050","0.058003",
"366","0.000094","0.058002",
"367","0.000122","0.058001",
"368","0.000151","0.058005",
"369","0.000192","0.058004",
"370","0.000216","0.058004",
"371","0.000216","0.058004",
"372","0.000187","0.058010",
"373","0.000216","0.058002",
"374","0.000196","0.058002",
"375","0.000175","0.058001",
"376","0.000174","0.058006",
"377","0.000207","0.058005",
"378","0.000229","0.057997",
"379","0.000232","0.058003",
"380","0.000204","0.058009",
"381","0.000193","0.058000",
"382","0.000221","0.057998",
"383","0.000226","0.058002",
"384","0.000236","0.057999",
"385","0.000208","0.058001",
"386","0.000203","0.058001",
"387","0.000152","0.057999",
"388","0.000126","0.058004",
"389","0.000125","0.058002",
"390","0.000107","0.058004",
"391","0.000074","0.058007",
"392","0.000071","0.058006",
"393","0.000046","0.058000",
"394","0.000047","0.058005",
"395","0.000018","0.057997",
"396","0.000015","0.057999",
"397","0.000010","0.058000",
"398","0.000010","0.058006",
"399","0.000027","0.058014",
"400","0.000011","0.058013",
"401","0.000010","0.058011",
"402","0.000019","0.058008",
"403","0.000010","0.058008",
"404","0.000011","0.058004",
"405","0.000010","0.058002",
"406","0.000027","0.058004",
"407","0.000012","0.058006",
"408","0.000010","0.058009",
"409","0.000017","0.058011",
"410","0.000010","0.058011",
"411","0.000021","0.058008",
"412","0.000010","0.058007",
"413","0.000026","0.058007",
"414","0.000047","0.058006",
"415","0.000037","0.058013",
"416","0.000045","0.058009",
"417","0.000050","0.058006",
"418","0.000017","0.058006",
"419","0.000010","0.057997",
"420","0.000010","0.057995",
"421","0.000025","0.057992",
"422","0.000030","0.057994",
"423","0.000040","0.057994",
"424","0.000066","0.057992",
"425","0.000058","0.057987",
"426","0.000060","0.057983",
"427","0.000043","0.057985",
"428","0.000033","0.057985",
"429","0.000055","0.057988",
"430","0.000060","0.057992",
"431","0.000091","0.057991",
"432","0.000144","0.057991",
"433","0.000167","0.057992",
"434","0.000166","0.057989",
"435","0.000182","0.057992",
"436","0.000165","0.057990",
"437","0.000181","0.057992",
"438","0.000162","0.057995",
"439","0.000165","0.057993",
"440","0.000141","0.057989",
"441","0.000156","0.057982",
"442","0.000160","0.057988",
"443","0.000153","0.057986",
"444","0.000126","0.057986",
"445","0.000055","0.057982",
"446","0.000075","0.057986",
"447","0.000082","0.057986",
"448","0.000082","0.057987",
"449","0.000086","0.057992",
"450","0.000047","0.057991",
"451","0.000045","0.057990",
"452","0.000044","0.057997",
"453","0.000055","0.057998",
"454","0.000041","0.057994",
"455","0.000040","0.057993",
"456","0.000029","0.057994",
"457","0.000052","0.057992",
"458","0.000081","0.057993",
"459","0.000103","0.057992",
"460","0.000112","0.057992",
"461","0.000126","0.057993",
"462","0.000119","0.057992",
"463","0.000146","0.057990",
"464","0.000173","0.057990",
"465","0.000181","0.057996",
"466","0.000185","0.057988",
"467","0.000200","0.057982",
"468","0.000190","0.057982",
"469","0.000176","0.057985",
"470","0.000197","0.057983",
"471","0.000206","0.057986",
"472","0.000215","0.057986",
"473","0.000208","0.057990",
"474","0.000167","0.057987",
"475","0.000152","0.057986",
"476","0.000119","0.057986",
"477","0.000153","0.057986",
"478","0.000147","0.057985",
"479","0.000146","0.057985",
"480","0.000100","0.057978",
"481","0.000073","0.057981",
"482","0.000036","0.057979",
"483","0.000039","0.057978",
"484","0.000055","0.057976",
"485","0.000046","0.057979",
"486","0.000053","0.057981",
"487","0.000073","0.057983",
