"index","mc","mcblue","mclds","ismc1","ismcblue1","ismclds1","ismc2","ismcblue2","ismclds2","mismc","mismcstoc","mismclds"
"205","0.005511","0.003019","0.000080","0.001744","0.000917","0.000156","0.000803","0.001640","0.000144","0.000106","0.001443","0.000091",
"206","0.005657","0.003035","0.000035","0.001782","0.000938","0.000075","0.000880","0.001651","0.000069","0.000024","0.001392","0.000137",
"207","0.005663","0.002809","0.000174","0.001681","0.000916","0.000159","0.000846","0.001837","0.000222","0.000100","0.001690","0.000120",
"208","0.005720","0.002775","0.000102","0.001591","0.000963","0.000101","0.000644","0.001883","0.000041","0.000165","0.001553","0.000014",
"209","0.005731","0.002788","0.000166","0.001743","0.001078","0.000219","0.000618","0.001886","0.000252","0.000247","0.001740","0.000022",
"210","0.005522","0.002171","0.000117","0.001809","0.001038","0.000260","0.000854","0.001707","0.000237","0.000278","0.001622","0.000073",
"211","0.005681","0.001902","0.000030","0.001891","0.001099","0.000101","0.000687","0.001696","0.000043","0.000262","0.001692","0.000068",
"212","0.006084","0.002186","0.000177","0.001773","0.001134","0.000229","0.000741","0.001678","0.000330","0.000215","0.001790","0.000157",
"213","0.005935","0.002071","0.000125","0.001904","0.001297","0.000240","0.000795","0.001960","0.000084","0.000221","0.001956","0.000090",
"214","0.005837","0.002222","0.000121","0.001754","0.001145","0.000274","0.000827","0.002052","0.000083","0.000222","0.001764","0.000035",
