"index","mc","mcblue","mclds","ismc","ismcblue","ismclds"
"153","0.000110","0.000263","0.000080","0.000433","0.000821","0.000027",
"154","0.000162","0.000367","0.000022","0.000416","0.000827","0.000059",
"155","0.000070","0.000195","0.000170","0.000413","0.000798","0.000010",
"156","0.000047","0.000198","0.000010","0.000389","0.000778","0.000010",
"157","0.000074","0.000103","0.000097","0.000385","0.000808","0.000040",
"158","0.000023","0.000107","0.000125","0.000432","0.000774","0.000039",
"159","0.000058","0.000010","0.000010","0.000448","0.000756","0.000082",
"160","0.000025","0.000010","0.000157","0.000447","0.000758","0.000040",
"161","0.000065","0.000018","0.000047","0.000391","0.000797","0.000027",
"162","0.000041","0.000029","0.000047","0.000370","0.000754","0.000035",
"163","0.000075","0.000077","0.000154","0.000340","0.000773","0.000023",
"164","0.000117","0.000151","0.000010","0.000362","0.000750","0.000010",
"165","0.000177","0.000219","0.000120","0.000324","0.000723","0.000015",
"166","0.000182","0.000189","0.000092","0.000297","0.000694","0.000010",
"167","0.000216","0.000212","0.000010","0.000323","0.000706","0.000041",
"168","0.000249","0.000256","0.000157","0.000346","0.000678","0.000010",
"169","0.000344","0.000312","0.000020","0.000355","0.000688","0.000010",
"170","0.000406","0.000388","0.000072","0.000331","0.000697","0.000023",
"171","0.000410","0.000391","0.000130","0.000282","0.000704","0.000011",
"172","0.000481","0.000295","0.000010","0.000225","0.000678","0.000057",
"173","0.000491","0.000226","0.000135","0.000219","0.000680","0.000043",
"174","0.000389","0.000204","0.000060","0.000230","0.000699","0.000030",
"175","0.000356","0.000210","0.000028","0.000205","0.000739","0.000052",
"176","0.000431","0.000245","0.000148","0.000184","0.000763","0.000010",
"177","0.000346","0.000132","0.000010","0.000185","0.000762","0.000010",
"178","0.000333","0.000164","0.000096","0.000175","0.000774","0.000036",
"179","0.000345","0.000107","0.000102","0.000170","0.000762","0.000034",
"180","0.000343","0.000178","0.000010","0.000175","0.000767","0.000067",
"181","0.000388","0.000110","0.000142","0.000151","0.000723","0.000027",
"182","0.000410","0.000087","0.000032","0.000151","0.000687","0.000020",
"183","0.000395","0.000130","0.000051","0.000090","0.000657","0.000030",
"184","0.000392","0.000190","0.000131","0.000076","0.000608","0.000010",
"185","0.000385","0.000245","0.000010","0.000091","0.000598","0.000023",
"186","0.000363","0.000134","0.000115","0.000124","0.000573","0.000032",
"187","0.000320","0.000118","0.000072","0.000062","0.000560","0.000021",
"188","0.000293","0.000133","0.000014","0.000045","0.000571","0.000047",
"189","0.000394","0.000085","0.000140","0.000078","0.000562","0.000010",
"190","0.000386","0.000145","0.000011","0.000058","0.000570","0.000010",
"191","0.000403","0.000132","0.000074","0.000028","0.000578","0.000030",
"192","0.000464","0.000127","0.000108","0.000038","0.000563","0.000026",
"193","0.000435","0.000168","0.000010","0.000041","0.000507","0.000067",
"194","0.000399","0.000220","0.000126","0.000098","0.000584","0.000041",
"195","0.000437","0.000132","0.000044","0.000102","0.000601","0.000030",
"196","0.000427","0.000103","0.000033","0.000097","0.000587","0.000044",
"197","0.000454","0.000177","0.000130","0.000091","0.000568","0.000010",
"198","0.000547","0.000162","0.000010","0.000078","0.000580","0.000010",
"199","0.000584","0.000187","0.000094","0.000101","0.000576","0.000025",
"200","0.000633","0.000196","0.000082","0.000154","0.000588","0.000015",
"201","0.000540","0.000194","0.000010","0.000118","0.000569","0.000046",
"202","0.000563","0.000194","0.000130","0.000139","0.000591","0.000012",
"203","0.000542","0.000240","0.000021","0.000111","0.000576","0.000012",
"204","0.000548","0.000200","0.000055","0.000074","0.000565","0.000025",
"205","0.000491","0.000178","0.000112","0.000055","0.000593","0.000010",
"206","0.000445","0.000095","0.000010","0.000057","0.000573","0.000044",
"207","0.000507","0.000026","0.000110","0.000043","0.000576","0.000040",
"208","0.000433","0.000010","0.000056","0.000023","0.000543","0.000031",
"209","0.000439","0.000049","0.000019","0.000037","0.000551","0.000052",
"210","0.000367","0.000013","0.000125","0.000032","0.000581","0.000010",
"211","0.000301","0.000045","0.000010","0.000027","0.000576","0.000017",
"212","0.000182","0.000090","0.000075","0.000047","0.000544","0.000039",
"213","0.000117","0.000125","0.000090","0.000063","0.000546","0.000037",
"214","0.000135","0.000089","0.000010","0.000071","0.000569","0.000066",
"215","0.000138","0.000111","0.000118","0.000068","0.000569","0.000031",
"216","0.000153","0.000066","0.000032","0.000069","0.000622","0.000024",
"217","0.000065","0.000196","0.000038","0.000061","0.000589","0.000030",
"218","0.000048","0.000189","0.000114","0.000044","0.000556","0.000010",
"219","0.000035","0.000212","0.000010","0.000010","0.000565","0.000010",
"220","0.000010","0.000185","0.000093","0.000014","0.000566","0.000018",
"221","0.000066","0.000196","0.000066","0.000033","0.000542","0.000010",
"222","0.000059","0.000208","0.000010","0.000075","0.000529","0.000032",
"223","0.000028","0.000227","0.000119","0.000071","0.000520","0.000010",
"224","0.000039","0.000204","0.000013","0.000059","0.000574","0.000010",
"225","0.000010","0.000155","0.000058","0.000080","0.000581","0.000016",
"226","0.000010","0.000102","0.000096","0.000060","0.000574","0.000010",
"227","0.000086","0.000091","0.000010","0.000060","0.000535","0.000045",
"228","0.000025","0.000111","0.000105","0.000053","0.000542","0.000030",
"229","0.000071","0.000101","0.000043","0.000058","0.000579","0.000020",
"230","0.000010","0.000137","0.000024","0.000030","0.000582","0.000037",
"231","0.000045","0.000163","0.000112","0.000035","0.000584","0.000010",
"232","0.000040","0.000208","0.000010","0.000054","0.000562","0.000010",
"233","0.000010","0.000212","0.000076","0.000046","0.000584","0.000022",
"234","0.000025","0.000208","0.000075","0.000018","0.000613","0.000016",
"235","0.000076","0.000237","0.000010","0.000020","0.000656","0.000042",
"236","0.000095","0.000242","0.000110","0.000010","0.000667","0.000012",
"237","0.000118","0.000328","0.000022","0.000010","0.000650","0.000011",
"238","0.000117","0.000340","0.000042","0.000034","0.000629","0.000019",
"239","0.000101","0.000408","0.000099","0.000031","0.000609","0.000010",
"240","0.000128","0.000416","0.000010","0.000050","0.000573","0.000020",
"241","0.000160","0.000352","0.000091","0.000069","0.000595","0.000026",
"242","0.000198","0.000352","0.000053","0.000079","0.000600","0.000018",
"243","0.000188","0.000382","0.000013","0.000075","0.000587","0.000038",
"244","0.000232","0.000398","0.000109","0.000079","0.000571","0.000010",
"245","0.000229","0.000431","0.000010","0.000088","0.000582","0.000010",
"246","0.000289","0.000453","0.000060","0.000096","0.000565","0.000026",
"247","0.000364","0.000495","0.000082","0.000065","0.000531","0.000025",
"248","0.000349","0.000518","0.000010","0.000060","0.000516","0.000055",
"249","0.000317","0.000434","0.000100","0.000063","0.000510","0.000030",
"250","0.000281","0.000358","0.000032","0.000032","0.000500","0.000020",
"251","0.000272","0.000332","0.000028","0.000013","0.000490","0.000026",
"252","0.000378","0.000441","0.000100","0.000018","0.000497","0.000013",
"253","0.000342","0.000382","0.000010","0.000016","0.000517","0.000010",
"254","0.000420","0.000447","0.000077","0.000035","0.000535","0.000012",
"255","0.000459","0.000481","0.000062","0.000038","0.000546","0.000010",
"256","0.000436","0.000427","0.000010","0.000029","0.000525","0.000030",
"257","0.000428","0.000389","0.000103","0.000071","0.000515","0.000010",
"258","0.000416","0.000330","0.000015","0.000075","0.000509","0.000010",
"259","0.000460","0.000398","0.000046","0.000102","0.000508","0.000018",
"260","0.000440","0.000460","0.000087","0.000092","0.000524","0.000010",
"261","0.000407","0.000487","0.000010","0.000106","0.000528","0.000038",
"262","0.000376","0.000518","0.000089","0.000087","0.000546","0.000031",
"263","0.000372","0.000538","0.000042","0.000089","0.000531","0.000022",
"264","0.000362","0.000554","0.000017","0.000109","0.000482","0.000038",
"265","0.000351","0.000467","0.000099","0.000118","0.000475","0.000010",
"266","0.000364","0.000532","0.000010","0.000098","0.000467","0.000010",
"267","0.000233","0.000566","0.000063","0.000120","0.000505","0.000027",
"268","0.000196","0.000539","0.000069","0.000124","0.000493","0.000026",
"269","0.000162","0.000583","0.000010","0.000148","0.000485","0.000048",
"270","0.000167","0.000562","0.000095","0.000138","0.000473","0.000020",
"271","0.000158","0.000535","0.000023","0.000124","0.000446","0.000014",
"272","0.000186","0.000582","0.000033","0.000103","0.000449","0.000021",
"273","0.000126","0.000574","0.000089","0.000097","0.000436","0.000010",
"274","0.000124","0.000552","0.000010","0.000102","0.000430","0.000010",
"275","0.000104","0.000560","0.000076","0.000104","0.000429","0.000017",
"276","0.000066","0.000651","0.000050","0.000091","0.000407","0.000010",
"277","0.000098","0.000647","0.000010","0.000102","0.000414","0.000028",
"278","0.000088","0.000682","0.000096","0.000097","0.000422","0.000010",
"279","0.000133","0.000662","0.000010","0.000091","0.000423","0.000010",
"280","0.000071","0.000704","0.000049","0.000095","0.000425","0.000016",
"281","0.000010","0.000726","0.000075","0.000091","0.000412","0.000013",
"282","0.000015","0.000717","0.000010","0.000089","0.000421","0.000041",
"283","0.000052","0.000683","0.000086","0.000114","0.000420","0.000025",
"284","0.000085","0.000719","0.000032","0.000139","0.000435","0.000018",
"285","0.000098","0.000735","0.000021","0.000130","0.000430","0.000030",
"286","0.000091","0.000729","0.000090","0.000146","0.000405","0.000010",
"287","0.000110","0.000725","0.000010","0.000141","0.000413","0.000010",
