"index","mc","mcblue","mclds","ismc1","ismcblue1","ismclds1","ismc2","ismcblue2","ismclds2","mismc","mismcstoc","mismclds"
"83","0.002636","0.002636","0.000118","0.000880","0.000880","0.000085","0.006915","0.006915","0.000036","0.002722","0.000085","0.000847",
"84","0.002493","0.002493","0.000361","0.000889","0.000889","0.000371","0.007212","0.007212","0.000742","0.003036","0.000103","0.001036",
"85","0.002419","0.002419","0.000607","0.000809","0.000809","0.000011","0.007478","0.007478","0.000149","0.003070","0.000197","0.000928",
"86","0.001902","0.001902","0.000078","0.000978","0.000978","0.000021","0.007493","0.007493","0.000166","0.003024","0.000049","0.001126",
"87","0.001525","0.001525","0.000902","0.001196","0.001196","0.000509","0.007722","0.007722","0.000448","0.003079","0.000277","0.001037",
"88","0.001391","0.001391","0.000012","0.000919","0.000919","0.000187","0.007291","0.007291","0.000035","0.003078","0.000033","0.000871",
"89","0.001324","0.001324","0.000020","0.000788","0.000788","0.000174","0.007039","0.007039","0.000590","0.003012","0.000010","0.001201",
"90","0.000740","0.000740","0.000768","0.000859","0.000859","0.000224","0.007058","0.007058","0.000080","0.003006","0.000243","0.001137",
"91","0.000886","0.000886","0.000148","0.000390","0.000390","0.000069","0.006625","0.006625","0.000189","0.002769","0.000062","0.001188",
"92","0.000798","0.000798","0.000555","0.000041","0.000041","0.000561","0.006277","0.006277","0.000738","0.002498","0.000207","0.001455",
"93","0.001743","0.001743","0.000390","0.000485","0.000485","0.000218","0.006090","0.006090","0.000235","0.002414","0.000161","0.001350",
"94","0.001614","0.001614","0.000011","0.000727","0.000727","0.000166","0.005996","0.005996","0.000188","0.002526","0.000054","0.001583",
"95","0.002134","0.002134","0.000912","0.000912","0.000912","0.000052","0.005899","0.005899","0.000101","0.002689","0.000365","0.001447",
"96","0.002185","0.002185","0.000052","0.000432","0.000432","0.000292","0.006531","0.006531","0.000065","0.002764","0.000107","0.001633",
"97","0.001710","0.001710","0.000218","0.000521","0.000521","0.000142","0.007239","0.007239","0.000482","0.003079","0.000124","0.001916",
